window_id,block_start,block_end,mev_intensity,mev_regime,modularity,spectral_gap,eff_connectivity,avg_path_length,giant_component_pct,avg_eff_resistance,volatility,gas_price_gwei,volume_usd_m,active_pools,nodes,edges,avg_slippage_pct,avg_route_hops,failed_routes_pct,median_exec_cost_usd,hhi_builders,data_source
69,22390000,22400000,0.30599939100028367,medium,0.24399597851468385,0.2217208712974038,0.96579476861167,2.5161290322580645,0.9894179894179894,0.0,0.06539765637651816,0.8461583818000001,387.43097107325036,235,189,209,0.5125273664457307,2.609032258064516,0.0,27.328277034042213,0.266660626653665,real
70,22400000,22410000,0.2948609485833314,medium,0.239155582837787,0.2169265574805285,0.96579476861167,2.5161290322580645,0.9894179894179894,0.0,0.06393068486459677,0.35348029400000003,387.43097107325036,235,189,209,0.5084130301203684,2.609032258064516,0.0,27.136994475899364,0.22967378973319488,real
71,22410000,22420000,0.3247713610632369,medium,0.2485566846968117,0.21022553757092635,0.96579476861167,2.5161290322580645,0.9894179894179894,0.0,0.06368469629352094,0.9521490002,387.43097107325036,235,189,209,0.5164039667005393,2.609032258064516,0.0,27.50850683418421,0.24590992800519035,real
72,22420000,22430000,0.30838980216012046,medium,0.25085331912365744,0.1939619877647641,0.96579476861167,2.5161290322580645,0.9894179894179894,0.0,0.06378882707469216,0.438120521,387.43097107325036,235,189,209,0.5183561059633582,2.609032258064516,0.0,27.599265139415902,0.24577235228399985,real
73,22430000,22440000,0.3473641116363545,medium,0.24796955165374848,0.19150668855743108,0.96579476861167,2.5161290322580645,0.9894179894179894,0.0,0.05197235898726209,2.4942519770000002,387.43097107325036,235,189,209,0.5159049036139357,2.609032258064516,0.0,27.48530453463185,0.3038604669761547,real
74,22440000,22450000,0.38106898666818767,medium,0.24702562604167028,0.17076477588030045,0.96579476861167,2.5161290322580645,0.9894179894179894,0.0,0.04939087095997391,4.982121212400001,387.43097107325036,235,189,209,0.5151025668436692,2.609032258064516,0.0,27.448002520947995,0.30670036674939205,real
75,22450000,22460000,0.41786729078509266,high,0.24520208605603935,0.16956561223150168,0.96579476861167,2.5161290322580645,0.9894179894179894,0.0,0.04566386694645636,4.313243314199999,387.43097107325036,235,189,209,0.5135525578558829,2.609032258064516,0.0,27.375939942470755,0.3378614769360701,real
76,22460000,22470000,0.3939235718516543,medium,0.2613669171659196,0.17287200951329304,0.96579476861167,2.5161290322580645,0.9894179894179894,0.0,0.03577383766270922,5.9156333042,387.43097107325036,234,189,209,0.5272926642992811,2.609032258064516,0.0,28.014741076312628,0.2947518493505657,real
77,22470000,22480000,0.4082784679589996,high,0.2635836603493285,0.19224012588690545,0.96579476861167,2.5161290322580645,0.9894179894179894,0.0,0.03380128893362285,2.0945755254,387.43097107325036,234,189,209,0.5291768960051787,2.609032258064516,0.0,28.102342242657777,0.3180675779159013,real
78,22480000,22490000,0.39860147607050583,high,0.2646029792728656,0.19347639825319948,0.96579476861167,2.5161290322580645,0.9894179894179894,0.0,0.03297329134685388,2.8261317814,387.43097107325036,234,189,209,0.5300433170901852,2.609032258064516,0.0,28.14262364613646,0.32820830224722247,real
79,22490000,22500000,0.39407201437896416,high,0.2674665796736501,0.19449321591153648,0.96579476861167,2.5161290322580645,0.9894179894179894,0.0,0.03180117810066845,1.3366042488,387.43097107325036,234,189,209,0.5324773774308521,2.609032258064516,0.0,28.255787289508724,0.29834840955997854,real
80,22500000,22510000,0.4136280185810405,high,0.25984281489163147,0.21292331161555625,0.96579476861167,2.5161290322580645,0.9894179894179894,0.0,0.03157059172248359,0.6832975994000001,387.43097107325036,234,189,209,0.5259971773661362,2.609032258064516,0.0,27.954511665050102,0.3291544645591385,real
81,22510000,22520000,0.40243934722426805,high,0.2641679616096687,0.09180987447229318,0.96579476861167,2.5141739980449658,0.9894179894179894,0.0,0.03192928596172789,2.0573810438000004,387.43097107325036,235,189,210,0.5296735520764678,2.6079374389051804,0.0,28.125432635936452,0.2911179606577077,real
82,22520000,22530000,0.4155291336868377,high,0.2677340250448692,0.09481797766831598,0.9538152610441767,2.5108979947689627,0.9893617021276596,0.0,0.0320005443785381,1.0236887382,387.43097107325036,234,188,209,0.5345016321315124,2.6061028770706187,0.0,28.34989836523389,0.30532003807778296,real
83,22530000,22540000,0.36329835620719636,medium,0.26629064929389507,0.10255968716620316,0.9538152610441767,2.5108979947689627,0.9893617021276596,0.0,0.031388535313509824,3.0419961006,387.43097107325036,234,188,209,0.5332747627431843,2.6061028770706187,0.0,28.292859101413892,0.28386720566292867,real
84,22540000,22550000,0.3316371669911496,medium,0.26073865576126976,0.10536712916535118,0.9538152610441767,2.5117698343504795,0.9893617021276596,0.0,0.0135819477169143,1.3150646946,387.43097107325036,233,188,208,0.5285555682404528,2.6065911072362686,0.0,28.073455648348673,0.24677967742878865,real
85,22550000,22560000,0.2948560446400319,medium,0.25856820032046823,0.1043779444153538,0.9538152610441767,2.5117698343504795,0.9893617021276596,0.0,0.012327651509859022,0.5734777914,387.43097107325036,233,188,208,0.5267106811157715,2.6065911072362686,0.0,27.987683679120373,0.2825515922795802,real
86,22560000,22570000,0.2871427479991028,medium,0.26541784396899704,0.09504006147905353,0.9538152610441767,2.5117698343504795,0.9893617021276596,0.0,0.05566370326882774,1.2069337468,387.43097107325036,233,188,208,0.532532878217021,2.6065911072362686,0.0,28.25836761632641,0.2507750289935594,real
87,22570000,22580000,0.25789436677012195,low,0.26495334550646477,0.08917988038791475,0.9538152610441767,2.5117698343504795,0.9893617021276596,0.0,0.05701812163799124,10.179169456399999,387.43097107325036,233,188,208,0.5321380545238685,2.6065911072362686,0.0,28.240011585105517,0.2535325702698794,real
88,22580000,22590000,0.26107230009301996,medium,0.26215357795887634,0.09542073781238172,0.9698795180722891,2.5117698343504795,0.9893617021276596,0.0,0.05967352382757834,5.7655694753999995,387.43097107325036,233,188,208,0.5273486135542016,2.6065911072362686,0.0,28.017342253212387,0.26885131980438526,real
89,22590000,22600000,0.4190246235749391,high,0.26518477278988817,0.06038807152175538,0.9538152610441767,2.5117698343504795,0.9893617021276596,0.0,0.06161066200343072,2.485873479,387.43097107325036,234,188,208,0.5323347677147784,2.6065911072362686,0.0,28.24915711901477,0.33100578471087394,real
90,22600000,22610000,0.423741221811195,high,0.2648026581470562,0.06036581636217544,0.9578313253012049,2.5187445510026154,0.9893617021276596,0.0,0.062239887478925594,0.955200023,387.43097107325036,233,188,207,0.531407560629817,2.6104969485614644,0.0,28.206049670057258,0.3394580419936616,real
91,22610000,22620000,0.5058936524902771,high,0.30019864563912374,0.06539803569992167,0.9538152610441767,2.5108979947689627,0.9893617021276596,0.0,0.06546728763831632,2.972674667,387.43097107325036,235,188,209,0.5620965596366286,2.6061028770706187,0.0,29.63283391243427,0.34940289646082817,real
92,22620000,22630000,0.49014412311469807,high,0.300669411027739,0.06732364520317595,0.9698795180722891,2.5108979947689627,0.9893617021276596,0.0,0.06545130236001646,1.3352393708,387.43097107325036,235,188,209,0.5600870716627349,2.6061028770706187,0.0,29.539409367183985,0.33335869988455463,real
93,22630000,22640000,0.5314096786684093,high,0.3079131888977838,0.07016132318750096,0.9538152610441767,2.5108979947689627,0.9893617021276596,0.0,0.06605413116438802,3.3630838400000003,387.43097107325036,235,188,209,0.5686539214064897,2.6061028770706187,0.0,29.937696917015373,0.3601723251401717,real
94,22640000,22650000,0.5194521095995654,high,0.31207188375011646,0.06938163049550973,0.9698795180722891,2.5108979947689627,0.9893617021276596,0.0,0.06565065572595194,3.8795630654000006,387.43097107325036,235,188,209,0.5697791734767557,2.6061028770706187,0.0,29.99001181728961,0.3071608108210853,real
95,22650000,22660000,0.5224117934895014,high,0.29269492107124134,0.07269627546724236,0.96579476861167,2.5141739980449658,0.9894179894179894,0.0,0.06559074957324285,0.9054971698,387.43097107325036,236,189,210,0.5539214676188046,2.6079374389051804,0.0,29.252759851744816,0.31555134322310796,real
96,22660000,22670000,0.5168031261959402,high,0.2789451983879254,0.07153720232400655,0.96579476861167,2.5141739980449658,0.9894179894179894,0.0,0.038831402687165645,1.7442632677999999,387.43097107325036,236,189,210,0.542234203337986,2.6079374389051804,0.0,28.70939887380394,0.31704026210774405,real
